technical_director	technical director
heating_ventilation_air_conditioning_and_refrigeration_engineering_technician	heating, ventilation, air conditioning and refrigeration engineering technician
criminal_investigator	criminal investigator
learning_mentor	learning mentor
database_integrator	database integrator
import_export_specialist_in_beverages	import export specialist in beverages
music_therapist	music therapist
dentistry_lecturer	dentistry lecturer
coffee_taster	coffee taster
laundry_ironer	laundry ironer
airport_baggage_handler	airport baggage handler
leather_production_machine_operator	leather production machine operator
research_engineer	research engineer
business_administration_vocational_teacher	business administration vocational teacher
climatologist	climatologist
bathroom_fitter	bathroom fitter
leather_goods_machine_operator	leather goods machine operator
corporate_treasurer	corporate treasurer
political_campaign_officer	political campaign officer
electrical_equipment_assembler	electrical equipment assembler
incinerator_operator	incinerator operator
pilates_teacher	Pilates teacher
ict_technician	ICT technician
sports_coach	sports coach
stone_planer	stone planer
wholesale_merchant_in_hides_skins_and_leather_products	wholesale merchant in hides, skins and leather products
mortgage_broker	mortgage broker
import_export_specialist_in_flowers_and_plants	import export specialist in flowers and plants
lottery_cashier	lottery cashier
rail_project_engineer	rail project engineer
construction_safety_manager	construction safety manager
court_administrator	court administrator
rolling_stock_engineering_drafter	rolling stock engineering drafter
child_day_care_worker	child day care worker
toxicologist	toxicologist
drilling_engineer	drilling engineer
humanitarian_advisor	humanitarian advisor
footwear_cad_patternmaker	footwear CAD patternmaker
computer_games_multimedia_and_software_specialised_seller	computer games, multimedia and software specialised seller
sewerage_maintenance_technician	sewerage maintenance technician
mediator	mediator
government_minister	government minister
production_supervisor	production supervisor
explosives_engineer	explosives engineer
body_artist	body artist
bleacher_operator	bleacher operator
network_marketer	network marketer
decorative_painter	decorative painter
ceiling_installer	ceiling installer
